scenario_id,desc,swarm_size,mean_ms,p50_ms,p95_ms,p99_ms,std_ms
a6_no_fragmentation,No IP fragmentation (Jumbo frames),30,1.6652953562436597,1.637235404407258,1.8866988396019404,2.0353008098964005,0.13541839905541125
a6_no_fragmentation,No IP fragmentation (Jumbo frames),40,1.7201402837835866,1.6706982475458672,2.0225793802373615,2.3775827856358074,0.17571996724070238
a6_no_fragmentation,No IP fragmentation (Jumbo frames),50,1.8074725176737638,1.7325568776531501,2.3227433878167023,2.797722734652171,0.2687302794655695
a6_no_fragmentation,No IP fragmentation (Jumbo frames),60,1.9472456511627374,1.824141541269917,2.6719453689293307,3.7264931963254173,0.415626732699031
a6_no_fragmentation,No IP fragmentation (Jumbo frames),70,2.2615073809563317,2.061667741304861,3.679626788824303,4.722322185226235,0.6811163559714906
a6_no_fragmentation,No IP fragmentation (Jumbo frames),80,2.967836681876309,2.544213080431418,5.603551503081354,7.927015966565743,1.431767157469623
a6_no_fragmentation,No IP fragmentation (Jumbo frames),90,6.517384437454897,4.542997130329637,18.372060479835856,24.184139350766536,5.388209378969261
a6_no_fragmentation,No IP fragmentation (Jumbo frames),100,6.274794493025576,5.003646522381626,14.88263531170911,20.64903054295804,4.52571325538246
a7_high_loss,High baseline loss rate (1.0% BLER),10,2.585228681796503,2.5808163615852857,2.6903709645579057,2.7658784249042765,0.10512282302855978
a7_high_loss,High baseline loss rate (1.0% BLER),20,2.635209961610521,2.615763580741391,2.781061589263587,3.1012409370179737,0.1517081529561581
a7_high_loss,High baseline loss rate (1.0% BLER),30,2.6668531555570194,2.6398754719884017,2.889119640536086,3.2263915725334384,0.16574033671520552
a7_high_loss,High baseline loss rate (1.0% BLER),40,2.7186259602529455,2.673424743043931,3.0584935528571457,3.648330054898229,0.21955007733420465
a7_high_loss,High baseline loss rate (1.0% BLER),50,2.8379902902143423,2.755351318933148,3.332115988925804,3.8755931751184574,0.3230900852604961
a7_high_loss,High baseline loss rate (1.0% BLER),60,2.9816260345728276,2.8438806231810485,3.9114735829310536,4.579321367067329,0.4524508235893736
a7_high_loss,High baseline loss rate (1.0% BLER),70,3.2250681826064844,3.0304650452078334,4.523716120109838,5.722993409222336,0.6879929123839954
a7_high_loss,High baseline loss rate (1.0% BLER),80,4.0788529869742645,3.5419726474886684,7.390511238164848,9.158035873377585,1.5380646098904007
a7_high_loss,High baseline loss rate (1.0% BLER),90,7.508355483114643,6.180683693073954,16.463327463724447,22.53912420205419,4.530127784778759
a7_high_loss,High baseline loss rate (1.0% BLER),100,7.152083559279532,5.925009549830074,16.476876681191502,22.418608334295126,4.470767112430485
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),10,2.734186169326672,2.7315753395301323,2.8658354232351524,2.9373527027121664,0.08123943644048469
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),20,2.762365335551058,2.7567929435057286,2.9427770918741913,3.0216117734187544,0.09734089210533974
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),30,2.8213018005955988,2.7967808845032245,3.033186772920572,3.332993514780779,0.16500753804905627
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),40,2.8863178257454227,2.8324455931599433,3.206968028592492,4.03844956082078,0.34963964927402946
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),50,2.98151551227986,2.8724782849059416,3.5828747037423807,4.68375455826855,0.4521194522147879
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),60,3.0974810371390196,2.9826573436070944,3.8376744848330855,4.591671578475749,0.4037336018547873
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),70,3.324988543226136,3.1232438969531406,4.6256197012541485,5.502665957505851,0.6485008254282042
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),80,4.192352659547799,3.804014204906742,6.85070630561635,8.904864928410056,1.3871067126347845
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),90,7.67261587805257,6.409137628067221,16.99590205024837,25.08105053395886,4.701936144372051
a8_sequential_crypto,Sequential Crypto (Single-Core Execution),100,7.565822333281106,5.778463462387258,17.000686605636698,23.591642240831426,4.904397954719384
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),10,2.590796497613037,2.5879508393255946,2.7052324544178945,2.7660676854391535,0.07062703512000047
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),20,2.616249712168573,2.610873713005776,2.773334785684627,2.8419058125916488,0.09489218267310925
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),30,2.6765369009910427,2.642839883507091,2.9224621073530646,3.5671602825025674,0.2204828596916325
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),40,2.7137774164327757,2.6756278790078856,3.069250117581866,3.296568597119788,0.18353343771241404
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),50,2.812730287449785,2.7360755629014193,3.3626919778609614,3.9335796400500205,0.2870792612711313
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),60,2.982322501525191,2.836224918700885,3.838730356715091,4.716959265409855,0.45349574328940023
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),70,3.2550927437115083,3.075075673358718,4.5549271758430105,5.63952281645267,0.6723046350381764
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),80,4.003064070991727,3.5183666599313037,7.113756261900117,9.763548061807924,1.5167092332906256
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),90,7.626524627306969,6.229874311465274,15.775418807654107,22.295935864300464,4.810554315799018
baseline,Full Hybrid System (Parallel Quad-Core Pi 4),100,7.556949374578192,5.7502661219879005,17.190861642700874,26.512064272360973,5.253468765072179
